28450.00,99999.00,201705010000.00,174.00,10.00,14.00,nan,nan,nan,nan,nan,2.20,nan,nan,nan,nan,67.00,nan,nan,nan,8.00,31.00,31.00,1009.20,nan,984.10,nan,nan,nan,nan,nan,nan,35.00
28450.00,99999.00,201705010020.00,180.00,10.00,nan,4.00,nan,nan,nan,nan,2.90,nan,nan,nan,nan,10.00,nan,nan,nan,nan,30.00,30.00,nan,29.74,nan,nan,nan,nan,nan,nan,nan,nan
28450.00,99999.00,201705010050.00,190.00,10.00,nan,4.00,nan,nan,nan,nan,2.10,nan,nan,nan,nan,10.00,nan,nan,nan,nan,30.00,30.00,nan,29.74,nan,nan,nan,nan,nan,nan,nan,nan
28450.00,99999.00,201705010100.00,188.00,12.00,16.00,nan,nan,nan,nan,nan,3.20,nan,nan,nan,nan,77.00,nan,nan,nan,nan,31.00,30.00,1009.10,nan,984.00,nan,nan,nan,nan,nan,nan,35.00
28450.00,99999.00,201705010120.00,200.00,13.00,nan,2.00,nan,nan,nan,nan,1.80,nan,nan,nan,nan,72.00,nan,nan,nan,nan,30.00,30.00,nan,29.74,nan,nan,nan,nan,nan,nan,nan,nan
28450.00,99999.00,201705010150.00,200.00,14.00,nan,2.00,nan,nan,nan,nan,2.10,nan,nan,nan,nan,10.00,nan,nan,nan,nan,30.00,30.00,nan,29.74,nan,nan,nan,nan,nan,nan,nan,nan
28450.00,99999.00,201705010200.00,200.00,15.00,20.00,nan,nan,nan,nan,nan,1.70,nan,nan,nan,nan,61.00,nan,nan,nan,nan,31.00,31.00,1009.20,nan,984.10,nan,nan,nan,nan,nan,nan,35.00
28450.00,99999.00,201705010220.00,210.00,14.00,nan,1.00,nan,nan,nan,nan,0.30,nan,nan,nan,nan,35.00,nan,nan,nan,nan,30.00,30.00,nan,29.77,nan,nan,nan,nan,nan,nan,nan,nan
28450.00,99999.00,201705010250.00,210.00,14.00,nan,1.00,nan,nan,nan,nan,0.20,nan,nan,nan,nan,35.00,nan,nan,nan,nan,30.00,30.00,nan,29.77,nan,nan,nan,nan,nan,nan,nan,nan
28450.00,99999.00,201705010300.00,203.00,13.00,18.00,nan,nan,nan,nan,nan,0.50,nan,nan,nan,nan,85.00,nan,nan,nan,8.00,31.00,31.00,1009.60,nan,984.50,nan,nan,nan,nan,nan,nan,35.00
28450.00,99999.00,201705010320.00,210.00,15.00,nan,1.00,nan,nan,nan,nan,1.30,nan,nan,nan,nan,10.00,nan,nan,nan,nan,30.00,30.00,nan,29.77,nan,nan,nan,nan,nan,nan,nan,nan
28450.00,99999.00,201705010350.00,210.00,14.00,nan,2.00,nan,nan,nan,nan,1.80,nan,nan,nan,nan,10.00,nan,nan,nan,nan,30.00,30.00,nan,29.77,nan,nan,nan,nan,nan,nan,nan,nan
