29980.00,99999.00,201705010000.00,206.00,14.00,20.00,722.00,nan,nan,nan,nan,27.40,nan,nan,nan,nan,0.00,nan,nan,nan,0.00,37.00,32.00,1025.10,nan,1021.90,nan,nan,nan,nan,nan,nan,0.00
29980.00,99999.00,201705010100.00,198.00,14.00,23.00,722.00,nan,nan,nan,nan,29.20,nan,nan,nan,nan,0.00,nan,nan,nan,nan,37.00,32.00,1025.40,nan,1022.20,nan,nan,nan,nan,nan,nan,0.00
29980.00,99999.00,201705010200.00,216.00,13.00,21.00,722.00,nan,nan,nan,nan,31.20,nan,nan,nan,nan,0.00,nan,nan,nan,nan,37.00,31.00,1025.20,nan,1022.00,nan,nan,nan,nan,nan,nan,0.00
29980.00,99999.00,201705010300.00,200.00,16.00,nan,nan,nan,nan,nan,nan,21.90,nan,nan,nan,nan,0.00,nan,nan,nan,nan,37.00,32.00,1025.40,nan,1022.20,nan,nan,nan,nan,nan,nan,nan
29980.00,99999.00,201705010400.00,220.00,14.00,21.00,722.00,nan,nan,nan,nan,23.50,nan,nan,nan,nan,0.00,nan,nan,nan,nan,39.00,32.00,1025.70,nan,1022.50,nan,nan,nan,nan,nan,nan,0.00
29980.00,99999.00,201705010500.00,212.00,13.00,19.00,722.00,nan,nan,nan,nan,20.30,nan,nan,nan,nan,0.00,nan,nan,nan,nan,41.00,33.00,1026.00,nan,1022.80,nan,nan,nan,nan,nan,nan,0.00
29980.00,99999.00,201705010600.00,208.00,9.00,15.00,722.00,nan,nan,nan,nan,21.80,nan,nan,nan,nan,0.00,nan,nan,nan,0.00,44.00,35.00,1026.40,nan,1023.20,44.00,35.00,0.00,nan,nan,nan,0.00
29980.00,99999.00,201705010700.00,215.00,11.00,16.00,722.00,nan,nan,nan,nan,24.80,nan,nan,nan,nan,0.00,nan,nan,nan,nan,45.00,36.00,1026.80,nan,1023.60,nan,nan,nan,nan,nan,nan,0.00
29980.00,99999.00,201705010800.00,220.00,8.00,11.00,722.00,nan,nan,nan,nan,19.40,nan,nan,nan,nan,0.00,nan,nan,nan,nan,48.00,37.00,1027.00,nan,1023.80,nan,nan,nan,nan,nan,nan,0.00
29980.00,99999.00,201705010900.00,210.00,9.00,nan,nan,nan,nan,nan,nan,18.10,nan,nan,nan,nan,0.00,nan,nan,nan,nan,51.00,37.00,1026.90,nan,1023.70,nan,nan,nan,nan,nan,nan,nan
