2.016060100000000000e+07,6.550000000000000000e+01,1.861111111111111072e+01
2.016060200000000000e+07,6.579999999999999716e+01,1.877777777777777501e+01
2.016060300000000000e+07,6.840000000000000568e+01,2.022222222222222499e+01
2.016060400000000000e+07,5.750000000000000000e+01,1.416666666666666607e+01
2.016060500000000000e+07,5.139999999999999858e+01,1.077777777777777679e+01
2.016060600000000000e+07,5.220000000000000284e+01,1.122222222222222321e+01
2.016060700000000000e+07,5.689999999999999858e+01,1.383333333333333215e+01
2.016060800000000000e+07,5.420000000000000284e+01,1.233333333333333393e+01
2.016060900000000000e+07,4.939999999999999858e+01,9.666666666666666075e+00
2.016061000000000000e+07,4.950000000000000000e+01,9.722222222222221433e+00
2.016061100000000000e+07,5.400000000000000000e+01,1.222222222222222143e+01
2.016061200000000000e+07,5.539999999999999858e+01,1.299999999999999822e+01
2.016061300000000000e+07,5.829999999999999716e+01,1.461111111111110894e+01
2.016061400000000000e+07,5.970000000000000284e+01,1.538888888888888928e+01
2.016061500000000000e+07,6.339999999999999858e+01,1.744444444444444287e+01
2.016061600000000000e+07,5.779999999999999716e+01,1.433333333333333215e+01
2.016061700000000000e+07,6.039999999999999858e+01,1.577777777777777679e+01
2.016061800000000000e+07,5.729999999999999716e+01,1.405555555555555358e+01
2.016061900000000000e+07,5.629999999999999716e+01,1.349999999999999822e+01
2.016062000000000000e+07,5.929999999999999716e+01,1.516666666666666430e+01
2.016062100000000000e+07,6.260000000000000142e+01,1.700000000000000000e+01
2.016062200000000000e+07,6.170000000000000284e+01,1.650000000000000000e+01
2.016062300000000000e+07,6.089999999999999858e+01,1.605555555555555358e+01
2.016062400000000000e+07,6.110000000000000142e+01,1.616666666666666785e+01
2.016062500000000000e+07,6.570000000000000284e+01,1.872222222222222499e+01
2.016062600000000000e+07,6.959999999999999432e+01,2.088888888888888573e+01
2.016062700000000000e+07,6.070000000000000284e+01,1.594444444444444642e+01
2.016062800000000000e+07,6.540000000000000568e+01,1.855555555555555713e+01
2.016062900000000000e+07,6.579999999999999716e+01,1.877777777777777501e+01
2.016063000000000000e+07,6.570000000000000284e+01,1.872222222222222499e+01
